92226;200000
92227;200000
92228;500000
92229;500000
92230;500000
92231;200000
92232;200000
92233;500000
92234;500000
92235;500000
120015;15000
120016;15000
120017;15000
120018;15000
120019;15000
120020;15000
120021;15000
120029;15000
120030;15000
120031;15000
120032;15000
120033;15000
120034;15000
120035;15000
120036;15000
120037;15000
120038;15000
120039;15000
120040;15000
120041;15000
120042;15000
53007;100000
53027;200000
53028;100000
72001;3000
72002;15000
72003;100000
72004;100000
72005;200000
72006;500000
92216;200000
92217;200000
92218;500000
92219;500000
92220;500000
92221;200000
92222;200000
92223;500000
92224;500000
92225;500000
98001;15000
98002;50000
98003;200000
98004;500000
222071;15000
222072;15000
222073;15000
222074;15000
222075;15000
222076;15000
222077;15000
222078;15000
222079;15000
222080;15000
222081;15000
222082;15000
222083;15000
222084;15000
11001;20000
11002;20000
11003;20000
11004;20000
11005;20000
11006;20000
11007;20000
11101;6000
11102;6000
11103;6000
11104;6000
11105;6000
11106;6000
11107;6000
12001;50000
13001;50000
13002;50000
14001;50000
14002;15000
15001;3000
15002;15000
15003;15000
15004;40000
15005;100000
15006;100000
15007;200000
15008;200000
15009;200000
15010;200000
15012;500000
15013;200000
15014;500000
15015;100000
15016;500000
100001;3000
100002;15000
100003;40000
100004;100000
100005;100000
100006;200000
100007;200000
100008;500000
100009;500000
100010;200000
100011;200000
100012;200000
100013;200000
100014;500000
100015;500000
100016;15000
100017;40000
100018;100000
100019;500000
111001;3000
111002;15000
190003;40000
190004;100000
190005;100000
190006;200000
110007;200000
110008;500000
110009;200000
110010;200000
110011;500000
110012;200000
110013;200000
110014;500000
110015;500000
110016;15000
110017;40000
110018;100000
110019;500000
16001;3000
16002;15000
16003;40000
16004;100000
16005;100000
16006;100000
16007;100000
16008;200000
16010;500000
16011;500000
16012;200000
16013;500000
16014;100000
200001;3000
200002;15000
200003;40000
200004;100000
200005;100000
200006;200000
200007;200000
200008;200000
200010;500000
200011;500000
200012;200000
200013;500000
200014;200000
200015;500000
210001;3000
210002;15000
210003;40000
210004;100000
210005;100000
210006;200000
210007;200000
210010;200000
210012;500000
210013;500000
210014;200000
210015;500000
210016;200000
210017;500000
17001;100000
17101;50000
17002;200000
17202;100000
18001;10000
18002;20000
18003;50000
18004;100000
18005;200000
18006;500000
18007;1000000
18008;2000000
19001;20000
19002;50000
19003;100000
19004;20000
19005;50000
19006;100000
19007;20000
19008;50000
19009;100000
19101;200000
20001;15000
20002;100000
20003;15000
20004;40000
20005;15000
21001;6000
21002;25000
21003;500000
22001;25000
22002;40000
22003;100000
22004;15000
22005;200000
22006;100000
22007;100000
22008;200000
22009;200000
22010;500000
22011;500000
22012;500000
22013;500000
22014;500000
22015;500000
22016;500000
22101;40000
22102;40000
22103;40000
22104;40000
22105;40000
22106;40000
22107;200000
22108;200000
22109;500000
22110;200000
22111;200000
22112;500000
22113;500000
22114;500000
22115;500000
22116;500000
22117;500000
22118;500000
22119;500000
22120;500000
22121;500000
22122;500000
22123;500000
22124;500000
22125;500000
22126;500000
22127;500000
22128;500000
22129;500000
22130;500000
22131;500000
22132;500000
22133;500000
22134;500000
23001;40000
24001;15000
25001;40000
26001;100000
26002;100000
26003;100000
26004;100000
26005;100000
26006;100000
26007;100000
26008;100000
26009;100000
26010;100000
26011;100000
26012;100000
26013;100000
26014;100000
26015;100000
26016;100000
26017;100000
26018;100000
26019;100000
26020;100000
26021;100000
26022;100000
26023;100000
26024;100000
26025;100000
26026;100000
26027;100000
26028;100000
26029;100000
26030;100000
26031;100000
26032;100000
26033;100000
26034;100000
26035;100000
26036;100000
26037;100000
26038;100000
26039;100000
26040;100000
26101;100000
26102;100000
26103;100000
26104;100000
26105;100000
26106;100000
26107;100000
26108;100000
26109;100000
26110;100000
26111;100000
26112;100000
26113;100000
26114;100000
26115;100000
26116;100000
26117;100000
26118;100000
26119;100000
26120;100000
26121;100000
26122;100000
26123;100000
26124;100000
26125;100000
26126;100000
26127;100000
26128;100000
26129;100000
26130;100000
26131;100000
26132;100000
26133;100000
26134;100000
26135;100000
26136;100000
26137;100000
27001;3000
27002;15000
27003;50000
27011;15000
27012;40000
27013;50000
27021;3000
27022;15000
27023;40000
27024;100000
27025;200000
27031;15000
27032;40000
27033;100000
27034;200000
28001;40000
28002;100000
28003;200000
28004;500000
28101;40000
28102;100000
28103;200000
28104;500000
29001;40000
29002;100000
29003;100000
29004;100000
30001;25000
30002;50000
30003;100000
30004;100000
30005;100000
30006;100000
30007;100000
30101;50000
30102;100000
30103;100000
30104;100000
30105;200000
30106;200000
30107;200000
31001;300000
31002;50000
31003;200000
31004;1000000
31005;2000000
31006;500000
31007;1000000
31008;2000000
31009;100000
32001;100000
32002;200000
32003;500000
32004;500000
33001;40000
33002;100000
33003;200000
33004;500000
34001;100000
35001;3000
35002;25000
35003;100000
35004;100000
35005;100000
35006;200000
35008;500000
35009;500000
35010;100000
35011;200000
35012;500000
35013;100000
35101;3000
35102;25000
35103;100000
35105;100000
35106;200000
35108;500000
35109;500000
35110;500000
35111;100000
35112;500000
35201;3000
35202;25000
35203;100000
35204;100000
35205;100000
35206;200000
35207;500000
35208;500000
35209;500000
35210;500000
35211;100000
35212;100000
35213;200000
35214;500000
35215;100000
35301;3000
35302;25000
35303;100000
35304;100000
35305;100000
35306;200000
35308;500000
35309;500000
35310;500000
35311;500000
35312;100000
35313;200000
35314;500000
35315;500000
35316;100000
35401;3000
35402;25000
35403;100000
35404;100000
35405;100000
35406;200000
35407;500000
35408;500000
35409;500000
35410;100000
35411;3000
35412;100000
35413;200000
35414;500000
35415;100000
35416;200000
35417;500000
35418;200000
35419;200000
35420;100000
35501;3000
35502;25000
35503;100000
35504;100000
35505;100000
35506;200000
35507;500000
35508;500000
35509;500000
35510;200000
35511;200000
35512;3000
35513;100000
35514;200000
35515;500000
35516;500000
35517;100000
35518;200000
35519;500000
35520;500000
35521;100000
35522;200000
35523;500000
35524;200000
35525;200000
35526;100000
36001;500
36002;3000
36003;15000
37001;500
37002;3000
37003;15000
37011;500
37012;6000
37013;15000
37021;500
37022;6000
37023;15000
38001;3000
38002;15000
38003;40000
38004;100000
39001;3000
39002;15000
39003;40000
39004;100000
39005;200000
39006;200000
39007;500000
39008;500000
39009;500000
40001;100000
40002;100000
40003;200000
40004;3000
40005;6000
40006;100000
40007;100000
40008;100000
40009;200000
41001;200000
41002;500000
41003;200000
41004;500000
41005;200000
41006;500000
41007;500000
41008;200000
41009;500000
41010;500000
41011;200000
41012;500000
41013;500000
41021;200000
41022;500000
41023;500000
41024;500000
41031;200000
41032;500000
41033;500000
41034;500000
41041;200000
41042;500000
41043;500000
41044;500000
41051;200000
41052;500000
41053;500000
41054;500000
41061;200000
41062;500000
41063;500000
41064;500000
41071;200000
41072;500000
41073;500000
41074;500000
41081;200000
41082;500000
41083;500000
41084;500000
41091;200000
41092;500000
41093;500000
41094;500000
41101;200000
41102;500000
41103;500000
41104;500000
41201;200000
41202;500000
41203;500000
41204;500000
41301;200000
41302;500000
41303;500000
41304;500000
41311;200000
41312;500000
41313;500000
41314;500000
41321;200000
41322;500000
41323;500000
41324;500000
41331;200000
41332;500000
41333;500000
41334;500000
41335;500000
41336;500000
41337;200000
41338;500000
41339;500000
41340;500000
41341;200000
41342;500000
